restaurant_id,name,lat,lng,zone_id,zone_name
R-0048,Sharda Bhavan,19.0266841,72.8508606,3,Viman Nagar
R-0049,Cafe Gulshan,19.0258324,72.8503463,3,Viman Nagar
R-0050,Snow Point,19.0257457,72.8503732,3,Viman Nagar
R-0051,Gurukripa,19.042935,72.8618466,0,Hinjewadi
R-0052,Shawarma's & More,19.0770035,72.8659697,4,Wakad
R-0053,Hotel shraddha,19.0455368,72.8647741,0,Hinjewadi
R-0054,Shai Cafe and Bar,19.0455769,72.9032091,2,Kothrud
R-0055,Sadguru Veg Diet,19.0456916,72.9020342,2,Kothrud
R-0056,Gurukrupa Restaurant,19.079705,72.9061157,5,Kharadi
R-0057,Achija Restaurant,19.0801689,72.9054558,5,Kharadi
R-0058,Radha Krishna,19.027895,72.8549919,3,Viman Nagar
R-0059,Restaurant 59,19.0631195,72.8487969,1,Baner
R-0060,Restaurant 60,19.0631245,72.8481351,1,Baner
R-0061,Yoko Sizzlers,19.0562679,72.83473,1,Baner
R-0062,Restaurant 62,19.0822752,72.8953991,5,Kharadi
R-0063,Indian Accent,19.0643615,72.8662339,4,Wakad
R-0064,CinCin,19.0608947,72.863034,4,Wakad
R-0065,Yauatcha,19.0609644,72.8628825,4,Wakad
R-0066,Nara Thai,19.0609555,72.8627457,4,Wakad
R-0067,Hitchki,19.0695355,72.869828,4,Wakad
R-0068,Kyma,19.0603737,72.8653675,4,Wakad
R-0069,Sequel,19.0603661,72.8651664,4,Wakad
R-0070,Amazonia,19.0593672,72.8650108,4,Wakad
R-0071,Butterfly High,19.0592821,72.8650856,4,Wakad
R-0072,O Pedro,19.059327,72.8650376,4,Wakad
R-0073,Origami Japanese & Korean Restaurant,19.0611165,72.868149,4,Wakad
R-0074,Lucky,19.0538947,72.8377074,1,Baner
R-0075,Amey,19.057386,72.8475215,1,Baner
R-0076,Belvedere,19.0573721,72.8479721,1,Baner
R-0077,Pot Pourri,19.0453834,72.9029559,2,Kothrud
R-0078,Lucky Restaurant,19.0517597,72.9010567,2,Kothrud
R-0079,Koolar & Co,19.0260654,72.8550383,3,Viman Nagar
R-0080,Paramount Restaurant,19.0387603,72.8417951,3,Viman Nagar
R-0081,Bombay Taco Company,19.0603008,72.8311614,1,Baner
R-0082,Hakkasan,19.0606199,72.8345481,1,Baner
R-0083,Arbab,19.0598873,72.834083,1,Baner
R-0084,Pizza Hut,19.0655856,72.8327487,1,Baner
R-0085,Los Cavos,19.0664847,72.8333221,1,Baner
R-0086,Sai Sagar,19.054425,72.8375299,1,Baner
R-0087,Sheetal Bukhara,19.0679012,72.8340037,1,Baner
R-0088,DP's Spice,19.0601618,72.8437179,1,Baner
R-0089,Nityanand Family Restaurant,19.0805224,72.8897014,5,Kharadi
R-0090,Apna Hotel,19.0504142,72.8650434,0,Hinjewadi
R-0091,Peninsula Veg,19.0427526,72.8644885,0,Hinjewadi
