restaurant_id,name,lat,lng,zone_id,zone_name
R-0034,Barbeque Nation,18.5163182,73.8423121,2,Kothrud
R-0035,Vaishali,18.520848,73.8412179,2,Kothrud
R-0036,Baadshahi,18.5086926,73.8488417,3,Viman Nagar
R-0037,Roopali,18.5193443,73.8414253,2,Kothrud
R-0038,Eden Court,18.5325596,73.8341131,5,Kharadi
R-0039,Little Italy,18.5348218,73.8381397,5,Kharadi
R-0040,Soul Kitch,18.5348843,73.8381849,5,Kharadi
R-0041,Four Seasons Restaurant & Bar,18.5036735,73.8215607,1,Baner
R-0042,Yolkshire,18.5032899,73.8216326,1,Baner
R-0043,Shivsagar,18.5202983,73.8457959,2,Kothrud
R-0044,Chaat Cafe,18.5013222,73.8221818,1,Baner
R-0045,Wadeshwar,18.5013733,73.8221823,1,Baner
R-0046,Siya,18.4990493,73.8193074,1,Baner
R-0047,Abhishek Non-Veg,18.5040868,73.8305613,1,Baner
R-0048,Kalinga Seafood Restaurant,18.5080294,73.8350616,1,Baner
R-0049,Manali,18.5027646,73.8288666,1,Baner
R-0050,Pavitra,18.5014649,73.8268161,1,Baner
R-0051,Swami,18.5080004,73.8350198,1,Baner
R-0052,Kimaya,18.5049037,73.8219181,1,Baner
R-0053,Olivia,18.5054189,73.8232962,1,Baner
R-0054,Casa Lolo,18.5169498,73.8339362,2,Kothrud
R-0055,Mainland China,18.5314274,73.8293605,5,Kharadi
R-0056,Natraj,18.5020727,73.8562922,3,Viman Nagar
R-0057,Eatsome,18.5032321,73.8216498,1,Baner
R-0058,Marrakesh,18.5244163,73.8415682,2,Kothrud
R-0059,Sukanta,18.5169481,73.844257,2,Kothrud
R-0060,Yana Sizzlers,18.5279415,73.84293,2,Kothrud
R-0061,Hotel Nimbalkar,18.4997954,73.8222785,1,Baner
R-0062,Sumitra,18.5039234,73.8211374,1,Baner
R-0063,Samadhan,18.5157746,73.8564341,3,Viman Nagar
R-0064,Saffron,18.5077877,73.8443855,3,Viman Nagar
R-0065,Salt and Pepper,18.5081847,73.8503517,3,Viman Nagar
R-0066,Woodlands,18.5080934,73.83466,1,Baner
R-0067,Sveekar,18.5064157,73.832361,1,Baner
R-0068,Banyan Tree,18.4921268,73.8290703,1,Baner
R-0069,Girija Matoshree,18.4900082,73.8270307,1,Baner
R-0070,Agatya,18.514425,73.8542899,3,Viman Nagar
R-0071,Samudra,18.5079009,73.8315753,1,Baner
R-0072,Aavees,18.5103191,73.8340451,1,Baner
R-0073,Kobe Sizzlers,18.5148321,73.8289305,1,Baner
R-0074,Niranjan,18.5260651,73.8419578,2,Kothrud
R-0075,Wadeshwar,18.5149005,73.8286396,1,Baner
R-0076,Aditya Pure Veg.,18.5098818,73.8340488,1,Baner
R-0077,Aditya Pure Veg.,18.5098831,73.8340316,1,Baner
R-0078,Durga Restaurant and Bar,18.4990512,73.8508435,3,Viman Nagar
R-0079,Sumadhu Veg Restaurant,18.4896771,73.832051,1,Baner
R-0080,Purab,18.5150062,73.8425613,2,Kothrud
R-0081,Deccan Corner,18.5163515,73.8423676,2,Kothrud
R-0082,Naivedyam,18.4973177,73.8539536,3,Viman Nagar
R-0083,Surya Veg/Non Veg,18.5040052,73.83098,1,Baner
R-0084,Restaurant 84,18.5107655,73.8298483,1,Baner
R-0085,उपहारगृह,18.5471692,73.8320871,5,Kharadi
R-0086,Joy Foods,18.5332739,73.8872318,0,Hinjewadi
R-0087,NH37 DHABA,18.5387183,73.8343717,5,Kharadi
R-0088,Pizza Hut,18.5031187,73.821688,1,Baner
R-0089,Jayesh A1 Sandwichs,18.5035906,73.8204939,1,Baner
R-0090,Restaurant 90,18.5273657,73.8731681,0,Hinjewadi
R-0091,Restaurant 91,18.5272704,73.8731116,0,Hinjewadi
R-0092,Supreme Corner,18.520535,73.8460261,2,Kothrud
R-0093,Satwik Thali,18.5090306,73.8490554,3,Viman Nagar
R-0094,Aalok,18.5253926,73.8532647,2,Kothrud
R-0095,Manisha Bhel,18.4930403,73.8257982,1,Baner
R-0096,Potoba,18.4921774,73.8252641,1,Baner
R-0097,my daBBa,18.4922771,73.8239542,1,Baner
R-0098,Mayur Pavbhaji,18.492924,73.8251172,1,Baner
R-0099,Paprika,18.4982663,73.8265123,1,Baner
R-0100,Samartha Pav Bhaji And Juice Cetner,18.4936388,73.8252581,1,Baner
R-0101,Kollage,18.5145117,73.8283664,1,Baner
R-0102,Kalinga,18.5050437,73.8320678,1,Baner
R-0103,Suryama,18.5180228,73.8362521,2,Kothrud
R-0104,SP's Biryani,18.5083286,73.8502975,3,Viman Nagar
